tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,budget,openingweekend
tt1002563,movie,The Young Messiah,The Young Messiah,0,2016,\N,111,Drama,18500000.0,3294876.0
tt1003023,movie,Máncora,Máncora,0,2008,\N,100,Drama,1800000.0,7675.0
tt1007028,movie,Zack and Miri Make a Porno,Zack and Miri Make a Porno,0,2008,\N,101,"Comedy,Romance",24000000.0,10065630.0
tt1007029,movie,The Iron Lady,The Iron Lady,0,2011,\N,105,"Biography,Drama",13000000.0,220409.0
tt1012804,movie,Redbelt,Redbelt,0,2008,\N,99,"Drama,Sport",7000000.0,63361.0
tt1013753,movie,Milk,Milk,0,2008,\N,128,"Biography,Drama,History",20000000.0,1481155.0
tt1014759,movie,Alice in Wonderland,Alice in Wonderland,0,2010,\N,108,"Adventure,Family,Fantasy",200000000.0,116101023.0
tt1014775,movie,Beverly Hills Chihuahua,Beverly Hills Chihuahua,0,2008,\N,91,"Adventure,Comedy,Drama",20000000.0,29300465.0
tt1017442,movie,House of Usher,House of Usher,0,2008,\N,84,"Horror,Thriller",1000000.0,891.0
tt1017451,movie,The Runaways,The Runaways,0,2010,\N,106,"Biography,Drama,Music",10000000.0,805115.0
tt1018765,movie,Our Brand Is Crisis,Our Brand Is Crisis,0,2015,\N,107,"Comedy,Drama",28000000.0,3238433.0
tt1018830,movie,Yonkers Joe,Yonkers Joe,0,2008,\N,101,Drama,5000000.0,4000000.0
tt1019452,movie,A Serious Man,A Serious Man,0,2009,\N,106,"Comedy,Drama",7000000.0,251337.0
tt1020936,movie,August Evening,August Evening,0,2007,\N,128,Drama,35000.0,3242.0
tt1023111,movie,Never Back Down,Never Back Down,0,2008,\N,110,"Action,Drama,Sport",20000000.0,8603195.0
tt1023481,movie,Step Up 2: The Streets,Step Up 2: The Streets,0,2008,\N,98,"Drama,Music,Romance",17500000.0,22125429.0
tt1031969,movie,The Rocker,The Rocker,0,2008,\N,102,"Comedy,Music",15000000.0,2636048.0
tt1060277,movie,Cloverfield,Cloverfield,0,2008,\N,85,"Action,Horror,Sci-Fi",25000000.0,46146546.0
tt1126618,movie,Morning Glory,Morning Glory,0,2010,\N,107,"Comedy,Drama,Romance",40000000.0,9203266.0
tt1129423,movie,Fireproof,Fireproof,0,2008,\N,122,"Drama,Romance",500000.0,6804764.0
tt1129445,movie,Amelia,Amelia,0,2009,\N,111,"Adventure,Biography,Drama",40000000.0,3904047.0
tt1135503,movie,Julie & Julia,Julie & Julia,0,2009,\N,118,"Biography,Drama,Romance",40000000.0,20027956.0
tt1185242,movie,Finding Bliss,Finding Bliss,0,2009,\N,96,"Comedy,Romance",1500000.0,2115.0
tt1185416,movie,When in Rome,When in Rome,0,2010,\N,91,"Comedy,Romance",55000000.0,12350041.0
tt1185442,movie,Kurbaan,Kurbaan,0,2009,\N,161,"Action,Crime,Drama",11000000.0,403678.0
tt1187044,movie,The Maid,La Nana,0,2009,\N,95,"Comedy,Drama",430000.0,17036.0
tt1189340,movie,The Lincoln Lawyer,The Lincoln Lawyer,0,2011,\N,118,"Crime,Drama,Thriller",40000000.0,13206453.0
tt1190536,movie,Black Dynamite,Black Dynamite,0,2009,\N,84,"Action,Comedy",2900000.0,131862.0
tt1190537,movie,Bloodline,Bloodline,0,2008,\N,113,Mystery,1500000.0,6658.0
tt1190617,movie,An American Carol,An American Carol,0,2008,\N,83,"Comedy,Fantasy",12000000.0,3656000.0
tt1193516,movie,Recep Ivedik,Recep Ivedik,0,2008,\N,90,Comedy,500000.0,5330000.0
tt1193631,movie,Step Up 3D,Step Up 3D,0,2010,\N,107,"Drama,Music,Romance",30000000.0,15812311.0
tt1194173,movie,The Bourne Legacy,The Bourne Legacy,0,2012,\N,135,"Action,Adventure,Mystery",125000000.0,38142825.0
tt1194263,movie,Get Low,Get Low,0,2009,\N,103,"Drama,Mystery",7500000.0,88182.0
tt1194417,movie,Casino Jack,Casino Jack,0,2010,\N,108,"Biography,Comedy,Crime",15000000.0,34528.0
tt1197624,movie,Law Abiding Citizen,Law Abiding Citizen,0,2009,\N,109,"Crime,Drama,Thriller",50000000.0,21039502.0
tt1197628,movie,Observe and Report,Observe and Report,0,2009,\N,86,"Comedy,Crime,Drama",18000000.0,11017334.0
tt1217209,movie,Brave,Brave,0,2012,\N,93,"Adventure,Animation,Comedy",185000000.0,66323594.0
tt1220634,movie,Resident Evil: Afterlife,Resident Evil: Afterlife,0,2010,\N,96,"Action,Adventure,Horror",60000000.0,26650264.0
tt1232790,movie,Of Time and the City,Of Time and the City,0,2008,\N,74,"Biography,Documentary",500000.0,5595.0
tt1273678,movie,The Spy Next Door,The Spy Next Door,0,2010,\N,94,"Action,Comedy,Family",28000000.0,12877043.0
tt1390411,movie,In the Heart of the Sea,In the Heart of the Sea,0,2015,\N,122,"Action,Adventure,Biography",100000000.0,11053366.0
tt1392190,movie,Mad Max: Fury Road,Mad Max: Fury Road,0,2015,\N,120,"Action,Adventure,Sci-Fi",150000000.0,45428128.0
tt1445208,movie,The Letters,The Letters,0,2014,\N,114,Drama,20000000.0,700683.0
